objID,petroMag_u,petroMag_g,petroMag_r,spiral,elliptical,z
1237648702967054436,19.66632,18.06869,17.32202,1,0,0.096009
1237648702967119953,19.64943,18.15452,17.332,1,0,0.101843
1237648702967185579,20.0869,18.30326,17.3502,1,0,0.111288
1237648702967251093,18.86854,17.79574,16.69921,1,0,0.138539
1237648702967447632,19.81884,18.16662,17.59504,1,0,0.08703
1237648702967447665,18.81721,17.81389,17.43434,1,0,0.068829
1237648702968103032,19.22243,17.86215,17.0403,1,0,0.119384
1237648702968103043,18.36086,17.09105,16.44965,1,0,0.059523
1237648702968103061,17.98642,16.73983,16.12338,1,0,0.066077
1237648702968234199,19.32425,17.9497,17.21355,1,0,0.125612
1237648702968234273,19.38153,17.93457,17.27454,1,0,0.094363
1237648702968299615,18.48092,17.46021,17.04058,1,0,0.072568
1237648703503204410,18.68171,17.08508,16.18374,1,0,0.073752
1237648703503401151,16.94669,15.57966,15.13137,1,0,0.027392
1237648703503532193,19.9703,18.07694,17.12347,1,0,0.10219
1237648703503663237,19.92805,18.53096,17.67346,1,0,0.112217
1237648703503663267,19.35003,18.17621,17.65682,1,0,0.113934
1237648703503663317,18.312,15.91277,14.95632,0,1,0.073209
1237648703503728835,19.31265,17.44366,16.52122,1,0,0.074066
1237648703503728911,19.05383,18.15405,17.49253,1,0,0.15799
1237648703503794279,17.50031,16.04654,15.35073,1,0,0.062404
1237648703503794332,16.45715,15.24358,14.64567,1,0,0.030798
1237648703503859902,20.02567,18.38622,17.41154,1,0,0.140918
1237648703504122104,19.58759,18.12664,17.49991,1,0,0.068187
1237648703505105066,19.64071,18.23247,17.2432,1,0,0.13433
1237648704040075423,21.25324,18.63251,17.75671,1,0,0.098886
1237648704040206557,19.45968,17.59915,16.68094,1,0,0.096859
1237648704040206575,19.22149,17.26967,16.36493,0,1,0.071608
1237648704040403101,18.77706,16.9763,16.35434,1,0,0.041978
1237648704040403119,18.86524,17.68941,16.96412,1,0,0.120831
1237648704040468525,19.13705,18.23181,17.49754,1,0,0.169569
1237648704040468662,19.93151,18.07188,17.21448,1,0,0.081847
1237648704040534123,18.63477,17.48508,16.67185,1,0,0.151557
1237648704040534125,21.70252,18.05337,17.17386,1,0,0.083213
1237648704040665238,17.47791,16.14112,15.38086,1,0,0.045612
1237648704040665265,20.91658,18.71341,17.64363,1,0,0.12575
1237648704040730773,19.91961,18.1299,17.24146,1,0,0.086122
1237648704040730821,19.55172,18.11803,17.27335,1,0,0.100644
1237648704040796231,17.7369,16.02046,15.15798,0,1,0.05038
1237648704041255011,20.13112,18.51555,17.59052,1,0,0.123105
1237648704041451688,18.80369,17.60332,17.03099,1,0,0.10036
1237648704041779417,20.34355,18.3674,17.3831,1,0,0.118272
1237648704042041444,18.69685,17.11008,16.4518,1,0,0.069974
1237648704042172617,19.68822,18.20108,17.20567,1,0,0.139589
1237648704042238098,20.0818,17.96018,17.16538,1,0,0.090057
1237648704576946328,18.48162,17.20209,16.60163,1,0,0.089266
1237648704577077389,18.30033,16.56684,15.70022,0,1,0.056163
1237648704577077430,19.55414,18.50086,17.76811,1,0,0.11945
1237648704577208477,19.09038,18.14334,17.48701,1,0,0.131985
1237648704577273992,19.24564,17.84952,17.07792,1,0,0.092037
1237648704577405071,19.11701,17.68802,16.83177,1,0,0.088114
1237648704577470605,19.75005,18.40071,17.7342,1,0,0.093358
1237648704577667258,20.37119,18.82929,17.8007,1,0,0.163957
1237648704578257089,16.06559,14.65259,14.04973,1,0,0.025834
1237648705113817274,18.51348,17.38895,16.80846,1,0,0.084788
1237648705114079366,20.56452,18.82179,17.71965,1,0,0.202744
1237648705114144891,19.17574,17.62132,16.77655,1,0,0.078197
